comment_id,rating,category,confidence,method,text,hatespeech,hate_speech_score,sentiment,respect,insult,llama_hate_binary,llama_hate_category,processed_hate_binary,processed_hate_category
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,2.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,3.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,0.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,3.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,2.0,3.0,2.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",1.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",1.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",1.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",1.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,0.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,1.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,0.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,3.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,0.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,1.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",1.0,0.46,3.0,3.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,3.0,1.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",1.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",1.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,1.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,3.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,3.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,0.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,0.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",1.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,1.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",1.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,3.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,4.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,3.0,3.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,3.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",1.0,0.46,4.0,4.0,3.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,2.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,1.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,2.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,2.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,3.0,3.0,1,hate,0,no_hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",2.0,0.46,4.0,4.0,4.0,1,hate,1,hate
20043,2.0,yes,0.9,gguf,"im ,i hate black people and minorities",0.0,0.46,4.0,4.0,3.0,1,hate,0,no_hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",1.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",0.0,2.97,4.0,4.0,4.0,0,no_hate,0,no_hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,3.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",0.0,2.97,4.0,4.0,4.0,0,no_hate,0,no_hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",1.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",0.0,2.97,4.0,4.0,4.0,0,no_hate,0,no_hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",0.0,2.97,4.0,4.0,4.0,0,no_hate,0,no_hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",1.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",0.0,2.97,4.0,4.0,3.0,0,no_hate,0,no_hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,3.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",1.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,3.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,3.0,3.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",0.0,2.97,4.0,4.0,4.0,0,no_hate,0,no_hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",0.0,2.97,4.0,4.0,4.0,0,no_hate,0,no_hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",1.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,4.0,4.0,4.0,0,no_hate,1,hate
20057,0.0,no,0.9,gguf,"This is why we won, because Americans know that giving these people power for another day is unaccep...",2.0,2.97,2.0,4.0,4.0,0,no_hate,1,hate
